========================================
ハードウェアショート診断ログ
========================================
日時: 2025/10/18 21:53:22
起動時間: 158.3秒

=== 基本統計 ===
内蔵キーボードブロック: 689
Bluetoothキーボード通過: 5
Shift+Ctrlリマップ: 0

=== 受信間隔統計 ===
総信号数: 316
最小間隔: 15ms
最大間隔: 36766ms
平均間隔: 377.37ms

=== ショート疑惑検出 ===
高速連続信号(<50ms): 309回
診断: ハードウェアショートの可能性が高い

=== 信号履歴（最新50件） ===
No, 時刻(ms), 間隔(ms), デバイス
51, 4923328, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
52, 4923343, 15, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
53, 4923375, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
54, 4923421, 46, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
55, 4923453, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
56, 4923484, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
57, 4923515, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
58, 4923546, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
59, 4923578, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
60, 4923609, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
61, 4923656, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
62, 4923671, 15, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
63, 4923703, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
64, 4923734, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
65, 4923781, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
66, 4923812, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
67, 4923859, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
68, 4923890, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
69, 4923906, 16, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
70, 4923953, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
71, 4923984, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
72, 4924015, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
73, 4924046, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
74, 4924078, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
75, 4924109, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
76, 4924140, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
77, 4924171, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
78, 4924203, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
79, 4924234, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
80, 4924281, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
81, 4924312, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
82, 4924343, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
83, 4924390, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
84, 4924421, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
85, 4924453, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
86, 4924484, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
87, 4924515, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
88, 4924546, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
89, 4924578, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
90, 4924609, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
91, 4924640, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
92, 4924671, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
93, 4924703, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
94, 4924734, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
95, 4924781, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
96, 4924812, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
97, 4924843, 31, \\?\HID#VID_046D&PID_C52B&REV_2411&MI_02&Qid_4003&WI_02&Class_0000001A&Col01#8&cc7c4ba&0&0000#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
98, 4931578, 6735, \\?\HID#VID_046D&PID_C52B&REV_2411&MI_02&Qid_4003&WI_02&Class_0000001A&Col01#8&cc7c4ba&0&0000#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
99, 4966968, 35390, \\?\HID#VID_046D&PID_C52B&REV_2411&MI_02&Qid_4003&WI_02&Class_0000001A&Col01#8&cc7c4ba&0&0000#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
100, 5003734, 36766, \\?\HID#VID_046D&PID_C52B&REV_2411&MI_02&Qid_4003&WI_02&Class_0000001A&Col01#8&cc7c4ba&0&0000#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}

=== 検出デバイス ===
\\?\HID#VID_046D&PID_C52B&REV_2411&MI_02&Qid_4003&WI_02&Class_0000001A&Col01#8&cc7c4ba&0&0000#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
\\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
